Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,15,15.0,44,44,0,0.9996039999999984
2,-105,-45.0,96,52,0,0.9991359999999965
3,-70,-53.333333333333336,148,52,0,0.9986679999999946
4,-65,-56.25,200,52,0,0.9981999999999926
5,-40,-53.0,279,79,0,0.9974889999999897
6,-60,-54.166666666666664,334,55,0,0.9969939999999877
7,-75,-57.142857142857146,496,162,0,0.9955359999999818
8,-65,-58.125,547,51,0,0.9950769999999799
9,-350,-90.55555555555556,676,129,0,0.9939159999999752
10,-160,-97.5,776,100,0,0.9930159999999715
11,-280,-114.0909090909091,903,127,0,0.9918729999999668
12,-285,-128.33333333333334,1025,122,0,0.9907749999999623
13,-190,-133.07692307692307,1238,213,0,0.9888579999999545
14,-70,-128.57142857142858,1370,132,0,0.9876699999999496
15,-90,-126.0,1419,49,0,0.9872289999999478
16,-50,-121.25,1458,39,0,0.9868779999999464
17,-35,-116.17647058823529,1503,45,0,0.9864729999999448
18,40,-107.5,1741,238,0,0.984330999999936
19,-15,-102.63157894736842,1865,124,0,0.9832149999999314
20,-200,-107.5,1990,125,0,0.9820899999999269
21,10,-101.9047619047619,2060,70,0,0.9814599999999243
22,-125,-102.95454545454545,2111,51,0,0.9810009999999224
23,-15,-99.1304347826087,2167,56,0,0.9804969999999203
24,0,-95.0,2212,45,0,0.9800919999999187
25,-225,-100.2,2393,181,0,0.978462999999912
26,-20,-97.11538461538461,2433,40,0,0.9781029999999106
27,-110,-97.5925925925926,2649,216,0,0.9761589999999026
