Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-45,-45.0,77,77,0,1.0
2,-31,-38.0,143,66,0,1.0
3,-14,-30.0,206,63,0,1.0
4,-16,-26.5,258,52,0,1.0
5,-34,-28.0,329,71,0,1.0
6,-65,-34.166666666666664,461,132,0,1.0
7,-85,-41.42857142857143,609,148,0,1.0
8,-89,-47.375,768,159,0,1.0
9,-103,-53.55555555555556,976,208,0,1.0
10,-26,-50.8,1039,63,0,1.0
11,-55,-51.18181818181818,1170,131,0,1.0
12,-119,-56.833333333333336,1391,221,0,1.0
13,-15,-53.61538461538461,1445,54,0,1.0
14,-99,-56.857142857142854,1660,215,0,1.0
15,-28,-54.93333333333333,1707,47,0,1.0
16,-57,-55.0625,1805,98,0,1.0
17,-15,-52.705882352941174,1850,45,0,1.0
18,-27,-51.27777777777778,1915,65,0,1.0
19,-54,-51.421052631578945,1994,79,0,1.0
20,-112,-54.45,2210,216,0,1.0
21,-125,-57.80952380952381,2435,225,0,1.0
22,-53,-57.59090909090909,2530,95,0,1.0
23,-18,-55.869565217391305,2572,42,0,1.0
24,-52,-55.708333333333336,2676,104,0,1.0
25,-24,-54.44,2728,52,0,1.0
26,-57,-54.53846153846154,2870,142,0,1.0
27,-17,-53.148148148148145,2905,35,0,1.0
28,-50,-53.035714285714285,3028,123,0,1.0
29,-75,-53.793103448275865,3150,122,0,1.0
30,-158,-57.266666666666666,3400,250,0,1.0
31,-72,-57.74193548387097,3519,119,0,1.0
32,-87,-58.65625,3686,167,0,1.0
33,-28,-57.72727272727273,3733,47,0,1.0
34,-17,-56.529411764705884,3771,38,0,1.0
35,-29,-55.74285714285714,3821,50,0,1.0
36,-61,-55.888888888888886,3961,140,0,1.0
37,-103,-57.16216216216216,4128,167,0,1.0
38,-103,-58.36842105263158,4313,185,0,1.0
39,-106,-59.58974358974359,4497,184,0,1.0
40,-21,-58.625,4538,41,0,1.0
41,-20,-57.68292682926829,4616,78,0,1.0
42,-21,-56.80952380952381,4665,49,0,1.0
43,-13,-55.7906976744186,4702,37,0,1.0
44,-111,-57.04545454545455,4930,228,0,1.0
45,-94,-57.86666666666667,5078,148,0,1.0
46,-36,-57.391304347826086,5147,69,0,1.0
47,-121,-58.744680851063826,5350,203,0,1.0
48,-51,-58.583333333333336,5436,86,0,1.0
49,-88,-59.183673469387756,5585,149,0,1.0
50,-85,-59.7,5784,199,0,1.0
51,-52,-59.549019607843135,5865,81,0,1.0
52,-29,-58.96153846153846,5940,75,0,1.0
53,-17,-58.16981132075472,5990,50,0,1.0
54,-112,-59.166666666666664,6211,221,0,1.0
55,-32,-58.67272727272727,6266,55,0,1.0
56,-103,-59.464285714285715,6446,180,0,1.0
57,-104,-60.24561403508772,6619,173,0,1.0
58,-78,-60.55172413793103,6760,141,0,1.0
59,-78,-60.847457627118644,6929,169,0,1.0
60,-134,-62.06666666666667,7140,211,0,1.0
61,-75,-62.278688524590166,7273,133,0,1.0
62,-43,-61.96774193548387,7340,67,0,1.0
63,-34,-61.523809523809526,7414,74,0,1.0
64,-73,-61.703125,7520,106,0,1.0
65,-108,-62.41538461538462,7716,196,0,1.0
66,-49,-62.21212121212121,7914,198,0,1.0
67,-19,-61.56716417910448,7953,39,0,1.0
68,-82,-61.86764705882353,8122,169,0,1.0
69,-28,-61.3768115942029,8170,48,0,1.0
70,-49,-61.2,8258,88,0,1.0
71,-111,-61.901408450704224,8447,189,0,1.0
72,-97,-62.388888888888886,8645,198,0,1.0
73,-24,-61.863013698630134,8705,60,0,1.0
74,-116,-62.5945945945946,8899,194,0,1.0
75,-21,-62.04,8956,57,0,1.0
76,-94,-62.46052631578947,9153,197,0,1.0
77,-63,-62.467532467532465,9274,121,0,1.0
78,-16,-61.87179487179487,9315,41,0,1.0
79,-20,-61.34177215189873,9357,42,0,1.0
80,-32,-60.975,9420,63,0,1.0
81,-112,-61.60493827160494,9615,195,0,1.0
82,-77,-61.792682926829265,9736,121,0,1.0
83,-25,-61.34939759036145,9791,55,0,1.0
84,-98,-61.785714285714285,9985,194,0,1.0
85,-2,-61.082352941176474,10180,102,93,0.48467343875385405
86,38,-59.93023255813954,10383,98,105,0.4808458740859739
