Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
1,30,30.0,108,108,0,0.999027999999996,4.768333
2,165,97.5,207,99,0,0.9981369999999924,6.144141
3,107,100.66666666666667,300,93,0,0.997299999999989,6.013168
4,-97,51.25,356,56,0,0.9967959999999869,6.274511
5,-154,10.2,399,43,0,0.9964089999999853,6.794697
6,-210,-26.5,444,45,0,0.9960039999999837,6.821306
7,655,70.85714285714286,657,213,0,0.9940869999999759,6.5598636
8,-120,47.0,743,86,0,0.9933129999999727,6.070279
9,-194,20.22222222222222,795,52,0,0.9928449999999708,5.8397856
10,121,30.3,955,160,0,0.9914049999999649,5.3451552
11,286,53.54545454545455,1058,103,0,0.9904779999999611,4.946954
12,-62,43.916666666666664,1117,59,0,0.9899469999999589,4.977535
13,-206,24.692307692307693,1161,44,0,0.9895509999999573,5.0057487
14,-187,9.571428571428571,1202,41,0,0.9891819999999558,4.7521873
15,143,18.466666666666665,1335,133,0,0.9879849999999509,4.3579407
16,-110,10.4375,1410,75,0,0.9873099999999482,4.5730257
17,133,17.647058823529413,1527,117,0,0.9862569999999439,4.3755727
18,-158,7.888888888888889,1575,48,0,0.9858249999999421,4.3098044
19,-231,-4.684210526315789,1641,66,0,0.9852309999999397,4.3022995
20,-133,-11.1,1716,75,0,0.9845559999999369,4.146427
21,136,-4.095238095238095,1814,98,0,0.9836739999999333,4.3901486
22,-228,-14.272727272727273,1869,55,0,0.9831789999999313,4.3787427
23,-192,-22.0,1908,39,0,0.9828279999999299,4.487744
24,-80,-24.416666666666668,1966,58,0,0.9823059999999277,4.4104433
25,-25,-24.44,2133,167,0,0.9808029999999216,4.301771
26,369,-9.307692307692308,2290,157,0,0.9793899999999158,4.1260543
27,60,-6.7407407407407405,2408,118,0,0.9783279999999115,4.068248
28,-47,-8.178571428571429,2471,63,0,0.9777609999999092,4.427296
29,-149,-13.03448275862069,2528,57,0,0.9772479999999071,4.183607
30,649,9.033333333333333,2726,198,0,0.9754659999998998,4.1266885
31,466,23.774193548387096,2911,185,0,0.973800999999893,4.187844
32,150,27.71875,2992,81,0,0.97307199999989,3.9379501
33,-91,24.12121212121212,3077,85,0,0.9723069999998869,3.9917355
34,385,34.73529411764706,3269,192,0,0.9705789999998798,3.8808632
35,-33,32.8,3340,71,0,0.9699399999998772,3.5352054
36,-177,26.97222222222222,3411,71,0,0.9693009999998746,3.517948
37,464,38.78378378378378,3640,229,0,0.9672399999998662,3.6858869
38,23,38.36842105263158,3713,73,0,0.9665829999998635,3.3234427
39,-122,34.256410256410255,3768,55,0,0.9660879999998615,3.3889275
40,-110,30.65,3861,93,0,0.9652509999998581,3.798354
41,-65,28.317073170731707,3962,101,0,0.9643419999998544,3.4132802
42,117,30.428571428571427,4124,162,0,0.9628839999998484,3.4698238
43,562,42.7906976744186,4328,204,0,0.9610479999998409,3.3962073
44,-185,37.61363636363637,4371,43,0,0.9606609999998393,2.9338872
45,-175,32.888888888888886,4418,47,0,0.9602379999998376,3.528758
46,83,33.97826086956522,4495,77,0,0.9595449999998348,3.284487
47,855,51.4468085106383,4693,198,0,0.9577629999998275,3.5557585
48,378,58.25,4896,203,0,0.95593599999982,3.2955484
49,-59,55.857142857142854,5007,111,0,0.954936999999816,3.3163903
50,247,59.68,5163,156,0,0.9535329999998102,3.2083597
51,659,71.43137254901961,5325,162,0,0.9520749999998043,3.1076906
52,245,74.76923076923077,5435,110,0,0.9510849999998002,3.198336
53,996,92.15094339622641,5650,215,0,0.9491499999997923,3.0010989
54,-44,89.62962962962963,5756,106,0,0.9481959999997884,2.6330664
55,254,92.61818181818182,5938,182,0,0.9465579999997817,2.936553
56,47,91.80357142857143,6016,78,0,0.9458559999997789,3.078083
57,486,98.71929824561404,6208,192,0,0.9441279999997718,2.7440784
58,200,100.46551724137932,6303,95,0,0.9432729999997683,2.7763257
59,424,105.94915254237289,6480,177,0,0.9416799999997618,2.951689
60,-18,103.88333333333334,6559,79,0,0.9409689999997589,2.7110927
61,-99,100.55737704918033,6628,69,0,0.9403479999997564,2.8819947
62,-137,96.7258064516129,6708,80,0,0.9396279999997534,2.7866447
63,-118,93.31746031746032,6758,50,0,0.9391779999997516,2.779326
64,-208,88.609375,6805,47,0,0.9387549999997499,2.7262866
65,-186,84.38461538461539,6856,51,0,0.938295999999748,2.985505
66,599,92.18181818181819,7082,226,0,0.9362619999997397,2.8271236
67,337,95.83582089552239,7313,231,0,0.9341829999997312,2.8572192
68,288,98.66176470588235,7452,139,0,0.9329319999997261,2.8431308
69,-106,95.69565217391305,7523,71,0,0.9322929999997235,3.0453339
70,-119,92.62857142857143,7615,92,0,0.9314649999997201,2.9387293
71,22,91.63380281690141,7716,101,0,0.9305559999997164,2.8755367
72,780,101.19444444444444,7919,203,0,0.9287289999997089,2.9481833
73,-308,95.58904109589041,7991,72,0,0.9280809999997063,2.8770437
74,-160,92.13513513513513,8052,61,0,0.927531999999704,2.779957
75,0,90.90666666666667,8171,119,0,0.9264609999996997,2.7721431
76,-210,86.94736842105263,8210,39,0,0.9261099999996982,2.6990001
77,-90,84.64935064935065,8266,56,0,0.9256059999996962,3.085014
78,187,85.96153846153847,8388,122,0,0.9245079999996917,2.6995692
79,-78,83.88607594936708,8445,57,0,0.9239949999996896,2.9329123
80,-198,80.3625,8489,44,0,0.923598999999688,3.0750625
81,-37,78.91358024691358,8562,73,0,0.9229419999996853,2.8866162
82,-197,75.54878048780488,8617,55,0,0.9224469999996833,2.7659314
83,326,78.56626506024097,8838,221,0,0.9204579999996751,3.0067935
84,591,84.66666666666667,9039,201,0,0.9186489999996678,2.8291967
85,-93,82.5764705882353,9111,72,0,0.9180009999996651,2.6451252
86,-38,81.17441860465117,9171,60,0,0.9174609999996629,2.663637
87,287,83.54022988505747,9384,213,0,0.9155439999996551,2.9188192
88,171,84.5340909090909,9582,198,0,0.9137619999996478,3.0231316
89,746,91.96629213483146,9782,200,0,0.9119619999996404,2.8622282
90,-249,88.17777777777778,9841,59,0,0.9114309999996383,2.9419258
91,305,90.56043956043956,9988,147,0,0.9101079999996329,2.699558
92,1216,102.79347826086956,10227,210,29,0.9079569999996241,2.6875174
93,452,106.54838709677419,10449,197,25,0.9059589999996159,2.8123553
94,535,111.1063829787234,10606,149,8,0.9045459999996102,2.5689433
95,-198,107.85263157894737,10649,38,5,0.9041589999996086,2.52031
96,468,111.60416666666667,10860,189,22,0.9022599999996008,2.4865913
97,-165,108.75257731958763,10916,51,5,0.9017559999995988,2.848765
98,424,111.96938775510205,11122,187,19,0.8999019999995912,2.6163278
99,980,120.73737373737374,11329,192,15,0.8980389999995836,2.62229
100,1012,129.65,11548,192,27,0.8960679999995755,2.5221198
101,519,133.5049504950495,11756,182,26,0.8941959999995679,2.5701234
102,69,132.87254901960785,11883,110,17,0.8930529999995632,2.6605082
103,524,136.66990291262135,12103,196,24,0.8910729999995551,2.4896178
104,195,137.23076923076923,12276,157,16,0.8895159999995488,2.5231524
105,174,137.58095238095237,12380,92,12,0.888579999999545,2.466048
106,908,144.8490566037736,12570,164,26,0.886869999999538,2.5844254
107,1116,153.92523364485982,12772,178,24,0.8850519999995305,2.6101675
108,1004,161.7962962962963,12977,180,25,0.883206999999523,2.295204
109,699,166.72477064220183,13161,164,20,0.8815509999995162,2.5210803
110,-193,163.45454545454547,13211,45,5,0.8811009999995144,2.4641557
111,588,167.27927927927928,13408,168,29,0.8793279999995072,2.5351825
112,160,167.21428571428572,13529,108,13,0.8782389999995027,2.5859647
113,-124,164.63716814159292,13609,72,8,0.8775189999994998,2.1323166
114,-224,161.2280701754386,13654,39,6,0.8771139999994981,2.6755915
115,880,167.47826086956522,13872,201,17,0.8751519999994901,2.399574
116,753,172.52586206896552,14130,230,28,0.8728299999994806,2.4600127
117,-149,169.77777777777777,14184,49,5,0.8723439999994786,2.2260754
118,534,172.864406779661,14404,192,28,0.8703639999994706,2.4303043
119,-206,169.68067226890756,14472,65,3,0.8697519999994681,2.384232
120,218,170.08333333333334,14631,144,15,0.8683209999994622,2.2395723
121,129,169.74380165289256,14849,191,27,0.8663589999994542,2.3190682
122,59,168.8360655737705,14929,72,8,0.8656389999994513,2.3163273
123,428,170.9430894308943,15151,197,25,0.8636409999994431,2.3279562
124,-225,167.75,15195,41,3,0.8632449999994415,2.3098216
125,-225,164.608,15231,34,2,0.8629209999994402,2.2759845
126,863,170.15079365079364,15445,181,33,0.8609949999994323,2.3010464
