Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
1,-63,-63.0,58,58,0,0.9994779999999979,5.5795355
2,136,36.5,142,84,0,0.9987219999999948,5.5168195
3,-176,-34.333333333333336,179,37,0,0.9983889999999934,5.0441093
4,-228,-82.75,216,37,0,0.9980559999999921,6.1670847
5,76,-51.0,306,90,0,0.9972459999999888,10.119103
6,-73,-54.666666666666664,375,69,0,0.9966249999999862,10.394151
7,-236,-80.57142857142857,423,48,0,0.9961929999999845,6.908948
8,267,-37.125,620,197,0,0.9944199999999772,7.5309367
9,349,5.777777777777778,803,183,0,0.9927729999999705,6.2260222
10,287,33.9,970,167,0,0.9912699999999643,5.2852135
11,929,115.27272727272727,1185,215,0,0.9893349999999564,7.97666
12,-113,96.25,1240,55,0,0.9888399999999544,4.674147
13,167,101.6923076923077,1399,159,0,0.9874089999999486,2.4523573
14,107,102.07142857142857,1528,129,0,0.9862479999999438,2.1082625
15,559,132.53333333333333,1658,130,0,0.9850779999999391,6.2291694
16,181,135.5625,1804,146,0,0.9837639999999337,4.190048
17,3,127.76470588235294,1879,75,0,0.9830889999999309,4.238434
18,269,135.61111111111111,2076,197,0,0.9813159999999237,2.7947142
19,-87,123.89473684210526,2140,64,0,0.9807399999999213,4.6663065
20,412,138.3,2278,138,0,0.9794979999999163,2.1224864
21,-115,126.23809523809524,2352,74,0,0.9788319999999135,5.9197483
22,-71,117.27272727272727,2442,90,0,0.9780219999999102,5.6607428
23,333,126.65217391304348,2610,168,0,0.9765099999999041,6.7356677
24,147,127.5,2845,235,0,0.9743949999998954,3.0547152
25,-235,113.0,2882,37,0,0.9740619999998941,4.484152
26,8,108.96153846153847,3004,122,0,0.9729639999998896,2.756583
27,526,124.4074074074074,3189,185,0,0.9712989999998828,1.7906063
28,62,122.17857142857143,3263,74,0,0.9706329999998801,5.1042295
29,-48,116.3103448275862,3374,111,0,0.969633999999876,2.962703
30,-128,108.16666666666667,3464,90,0,0.9688239999998727,2.747168
31,404,117.70967741935483,3633,169,0,0.9673029999998665,2.5156913
32,-78,111.59375,3689,56,0,0.9667989999998644,4.6475616
33,-186,102.57575757575758,3736,47,0,0.9663759999998627,1.9871938
34,87,102.11764705882354,3900,164,0,0.9648999999998567,1.6120051
35,-185,93.91428571428571,3957,57,0,0.9643869999998546,2.4390619
36,-47,90.0,4053,96,0,0.963522999999851,4.069105
37,402,98.43243243243244,4248,195,0,0.9617679999998439,4.380926
38,108,98.6842105263158,4329,81,0,0.9610389999998409,2.8088841
39,-64,94.51282051282051,4393,64,0,0.9604629999998385,3.3754253
40,-190,87.4,4443,50,0,0.9600129999998367,1.3601983
41,813,105.09756097560975,4665,222,0,0.9580149999998285,8.745935
42,461,113.57142857142857,4864,199,0,0.9562239999998212,1.9864159
43,136,114.09302325581395,4982,118,0,0.9551619999998169,2.402545
44,-105,109.11363636363636,5064,82,0,0.9544239999998139,2.2062116
45,-105,104.35555555555555,5122,58,0,0.9539019999998117,4.674222
46,-88,100.17391304347827,5196,74,0,0.953235999999809,2.4728093
47,6,98.17021276595744,5263,67,0,0.9526329999998066,2.2502544
48,-172,92.54166666666667,5319,56,0,0.9521289999998045,4.757863
49,-249,85.57142857142857,5365,46,0,0.9517149999998028,3.3555284
50,-5,83.76,5446,81,0,0.9509859999997998,1.202279
51,-67,80.80392156862744,5524,78,0,0.950283999999797,0.22128567
52,102,81.21153846153847,5608,84,0,0.9495279999997939,7.6599674
53,330,85.90566037735849,5748,140,0,0.9482679999997887,3.7180018
54,234,88.64814814814815,5894,146,0,0.9469539999997834,4.1218486
55,-44,86.23636363636363,5985,91,0,0.94613499999978,3.384086
56,168,87.69642857142857,6144,159,0,0.9447039999997742,4.785062
57,58,87.17543859649123,6264,120,0,0.9436239999997698,4.8952074
58,-138,83.29310344827586,6378,114,0,0.9425979999997656,3.117281
59,-142,79.47457627118644,6445,67,0,0.9419949999997631,4.271716
60,-69,77.0,6524,79,0,0.9412839999997602,2.7709835
61,-210,72.29508196721312,6575,51,0,0.9408249999997583,2.888049
62,-6,71.03225806451613,6656,81,0,0.9400959999997553,3.1954737
63,144,72.19047619047619,6776,120,0,0.9390159999997509,1.4010834
64,-24,70.6875,6899,123,0,0.9379089999997464,2.9074411
65,-54,68.76923076923077,7099,200,0,0.9361089999997391,5.407843
66,249,71.5,7311,212,0,0.9342009999997313,2.8574696
67,255,74.23880597014926,7460,149,0,0.9328599999997258,4.882778
68,-241,69.6029411764706,7492,32,0,0.9325719999997246,4.7985444
69,-1,68.57971014492753,7584,92,0,0.9317439999997212,3.21137
70,108,69.14285714285714,7666,82,0,0.9310059999997182,2.8454947
71,204,71.04225352112677,7768,102,0,0.9300879999997145,2.199315
72,-190,67.41666666666667,7825,57,0,0.9295749999997124,1.0085002
73,-52,65.78082191780823,7902,77,0,0.9288819999997096,1.9447029
74,-206,62.108108108108105,7945,43,0,0.928494999999708,3.910662
75,-219,58.36,7994,49,0,0.9280539999997062,2.278122
76,-233,54.526315789473685,8029,35,0,0.9277389999997049,2.9686093
77,320,57.97402597402598,8180,151,0,0.9263799999996993,2.3785634
78,166,59.35897435897436,8302,122,0,0.9252819999996948,3.4354758
79,-79,57.607594936708864,8389,87,0,0.9244989999996917,1.0735664
80,22,57.1625,8465,76,0,0.9238149999996889,1.7847328
81,-256,53.2962962962963,8517,52,0,0.923346999999687,2.246498
82,336,56.74390243902439,8657,140,0,0.9220869999996818,0.61521673
83,-204,53.602409638554214,8701,44,0,0.9216909999996802,3.008068
84,644,60.63095238095238,8916,215,0,0.9197559999996723,4.024827
85,-226,57.258823529411764,8957,41,0,0.9193869999996708,4.767315
86,-57,55.93023255813954,9042,85,0,0.9186219999996676,3.2791348
87,36,55.701149425287355,9155,113,0,0.9176049999996635,0.7935581
88,100,56.20454545454545,9227,72,0,0.9169569999996608,3.8168736
89,-220,53.10112359550562,9270,43,0,0.9165699999996593,0.44740224
90,46,53.022222222222226,9350,80,0,0.9158499999996563,4.1622057
91,378,56.59340659340659,9561,211,0,0.9139509999996486,2.703073
92,-26,55.69565217391305,9626,65,0,0.9133659999996462,2.0728085
93,-110,53.913978494623656,9711,85,0,0.9126009999996431,1.4132112
94,349,57.0531914893617,9897,186,0,0.9109269999996362,2.0446563
95,430,60.97894736842105,10103,200,6,0.9090729999996287,1.6218829
96,279,63.25,10277,156,18,0.9075069999996223,4.7179546
97,-247,60.05154639175258,10325,45,3,0.9070749999996205,2.4014633
98,127,60.734693877551024,10432,95,12,0.9061119999996166,5.3700256
99,-216,57.93939393939394,10474,35,7,0.905733999999615,1.9946158
100,410,61.46,10703,202,27,0.9036729999996066,0.78818655
101,85,61.693069306930695,10869,151,15,0.9021789999996005,1.352833
102,415,65.15686274509804,10997,117,11,0.9010269999995958,1.5640646
103,213,66.59223300970874,11123,110,16,0.8998929999995912,1.5892009
104,245,68.3076923076923,11327,178,26,0.8980569999995837,3.1264277
105,467,72.1047619047619,11543,191,25,0.8961129999995757,0.6037686
106,112,72.48113207547169,11686,123,20,0.8948259999995705,0.9566681
107,398,75.5233644859813,11875,171,18,0.8931249999995635,1.1876836
108,533,79.75925925925925,12065,174,16,0.8914149999995565,2.6085236
109,669,85.1651376146789,12256,166,25,0.8896959999995495,2.1466186
110,817,91.81818181818181,12457,176,25,0.8878869999995421,2.409267
111,-204,89.15315315315316,12502,41,4,0.8874819999995405,2.3893998
112,-140,87.10714285714286,12563,56,5,0.8869329999995382,1.8753617
113,406,89.929203539823,12725,143,19,0.8854749999995323,1.2201787
114,-160,87.73684210526316,12780,47,8,0.8849799999995303,2.240976
115,486,91.2,12971,167,24,0.8832609999995232,2.1132085
116,306,93.05172413793103,13167,178,18,0.881496999999516,3.3390636
117,413,95.78632478632478,13355,172,16,0.8798049999995091,1.9281324
118,678,100.72033898305085,13554,169,30,0.8780139999995018,1.9099575
119,396,103.2016806722689,13784,205,25,0.8759439999994934,1.7399607
120,301,104.85,13967,168,15,0.8742969999994866,3.7796502
121,514,108.23140495867769,14154,161,26,0.8726139999994798,4.2556024
122,160,108.65573770491804,14251,83,14,0.8717409999994762,1.4441003
123,171,109.16260162601625,14443,169,23,0.8700129999994691,2.4835517
124,-65,107.75806451612904,14536,85,8,0.8691759999994657,0.66299903
125,-218,105.152,14577,39,2,0.8688069999994642,1.7212287
126,545,108.64285714285714,14757,151,29,0.8671869999994576,0.7868501
127,823,114.26771653543307,14945,165,23,0.8654949999994507,1.8319842
128,537,117.5703125,15154,170,39,0.863613999999443,0.77660143
129,631,121.55038759689923,15372,190,28,0.861651999999435,3.0094779
130,111,121.46923076923076,15486,102,12,0.8606259999994308,1.3661416
131,1056,128.6030534351145,15722,204,32,0.8585019999994221,1.7227578
132,1047,135.56060606060606,15926,179,25,0.8566659999994146,1.5397186
133,526,138.49624060150376,16140,179,35,0.8547399999994068,1.3440781
134,757,143.11194029850745,16350,179,31,0.852849999999399,1.2809376
135,1031,149.6888888888889,16530,150,30,0.8512299999993924,0.7517005
136,328,151.0,16767,204,33,0.8490969999993837,1.2877371
137,-172,148.64233576642334,16831,54,10,0.8485209999993814,2.5019674
138,-66,147.08695652173913,16888,48,9,0.8480079999993793,1.8200117
139,726,151.25179856115108,17106,175,43,0.8460459999993712,0.7972816
140,364,152.77142857142857,17251,119,26,0.8447409999993659,1.7111717
141,-99,150.98581560283688,17393,120,22,0.8434629999993607,1.498419
142,491,153.38028169014083,17589,163,33,0.8416989999993535,2.0704885
143,751,157.55944055944056,17805,180,36,0.8397549999993456,2.582542
144,719,161.45833333333334,18047,202,40,0.8375769999993367,1.1941862
145,1083,167.81379310344826,18250,162,41,0.8357499999993292,1.7799114
146,1171,174.68493150684932,18471,189,32,0.8337609999993211,2.1761591
147,1176,181.49659863945578,18676,174,31,0.8319159999993135,3.1979764
148,166,181.3918918918919,18818,119,23,0.8306379999993083,1.1930441
149,845,185.84563758389262,19018,163,37,0.828837999999301,1.7605671
150,652,188.95333333333335,19207,154,35,0.827136999999294,2.0256062
151,1035,194.5562913907285,19416,173,36,0.8252559999992863,1.419526
152,733,198.09868421052633,19616,168,32,0.823455999999279,0.024746887
153,445,199.71241830065358,19749,107,26,0.8222589999992741,0.4865433
154,777,203.46103896103895,19962,181,32,0.8203419999992663,2.305328
155,1171,209.70322580645163,20191,191,38,0.8182809999992579,0.50428003
