Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-50,-50.0,73,73,0,0.9910448503742513
2,-45,-47.5,270,197,0,0.9821788059760798
3,-150,-81.66666666666667,344,74,0,0.9734009801936573
4,-165,-102.5,415,71,0,0.9647104952370908
5,-265,-135.0,618,203,0,0.9561064820506426
6,-75,-125.0,741,123,0,0.9475880802258239
7,-230,-140.0,846,105,0,0.9391544379153535
8,-55,-129.375,887,41,0,0.9308047117479722
9,-10,-116.11111111111111,945,58,0,0.9225380667441053
10,-260,-130.5,1101,156,0,0.9143536762323635
11,-205,-137.27272727272728,1288,187,0,0.9062507217668754
12,-145,-137.91666666666666,1436,148,0,0.8982283930454418
13,-50,-131.15384615384616,1486,50,0,0.8902858878285052
14,-190,-135.35714285714286,1698,212,0,0.8824224118589252
15,-70,-131.0,1748,50,0,0.874637178782552
16,-55,-126.25,1802,54,0,0.8669294100695902
17,-55,-122.05882352941177,1868,66,0,0.8592983349367453
18,-70,-119.16666666666667,1924,56,0,0.8517431902701448
19,35,-111.05263157894737,1986,62,0,0.844263220549026
20,-45,-107.75,2075,89,0,0.8368576777701836
21,0,-102.61904761904762,2129,54,0,0.8295258213731683
22,-40,-99.77272727272727,2173,44,0,0.8222669181662307
23,0,-95.43478260869566,2242,69,0,0.8150802422530007
24,-255,-102.08333333333333,2402,160,0,0.8079650749598981
25,-85,-101.4,2524,122,0,0.8009207047642644
26,-80,-100.57692307692308,2577,53,0,0.7939464272232096
27,-580,-118.33333333333333,2805,228,0,0.7870415449031678
28,-25,-115.0,2908,103,0,0.7802053673101529
29,-90,-114.13793103448276,2953,45,0,0.7734372108207087
30,-340,-121.66666666666667,3164,211,0,0.766736398613546
31,-135,-122.09677419354838,3224,60,0,0.7601022606018603
32,-250,-126.09375,3378,154,0,0.7535341333663218
33,-20,-122.87878787878788,3422,44,0,0.7470313600887335
34,-60,-121.02941176470588,3472,50,0,0.7405932904863487
35,-155,-122.0,3607,135,0,0.7342192807468421
36,-65,-120.41666666666667,3657,50,0,0.727908693463928
37,-125,-120.54054054054055,3879,222,0,0.7216608975736192
38,-25,-118.02631578947368,4088,209,0,0.7154752682911203
39,-65,-116.66666666666667,4135,47,0,0.7093511870483482
40,-85,-115.875,4226,91,0,0.7032880414320754
41,-65,-114.63414634146342,4357,131,0,0.6972852251226874
42,20,-111.42857142857143,4412,55,0,0.691342137833551
43,35,-108.02325581395348,4511,99,0,0.6854581852509849
44,10,-105.3409090909091,4710,199,0,0.6796327789748272
45,-160,-106.55555555555556,4799,89,0,0.673865336459596
46,-220,-109.02173913043478,4939,140,0,0.6681552809562333
47,625,-93.40425531914893,5208,197,72,0.6625020414544307
48,945,-71.77083333333333,5451,153,90,0.6569050526255268
49,1520,-39.285714285714285,5810,237,122,0.6513637547659745
50,350,-31.5,5980,107,63,0.6458775937413701
51,580,-19.50980392156863,6187,130,77,0.6404460209310393
52,645,-6.730769230769231,6381,131,63,0.6350684931731749
53,605,4.811320754716981,6587,134,72,0.6297444727105197
54,605,15.925925925925926,6780,119,74,0.6244734271365907
55,610,26.727272727272727,6969,115,74,0.619254829342438
56,675,38.30357142857143,7144,104,71,0.6140881574639334
57,1990,72.54385964912281,7495,207,144,0.6089728948295834
58,1025,88.96551724137932,7713,136,82,0.6039085299088618
59,710,99.49152542372882,7909,115,81,0.5988945562610564
60,825,111.58333333333333,8110,121,80,0.5939304724846237
61,1135,128.36065573770492,8334,126,98,0.5890157821670499
62,1070,143.5483870967742,8568,139,95,0.584149993835207
63,645,151.5079365079365,8753,108,77,0.5793326209062075
64,990,164.609375,8931,98,80,0.5745631816387438
65,740,173.46153846153845,9115,101,83,0.5698411990849145
66,735,181.96969696969697,9302,110,77,0.5651662010425292
67,930,193.13432835820896,9504,116,86,0.5605377200078883
68,1185,207.72058823529412,9722,121,97,0.5559552931290306
69,1095,220.57971014492753,9967,143,102,0.5514184621594499
70,1035,232.21428571428572,10187,127,93,0.5469267734122686
71,690,238.66197183098592,10369,99,83,0.5424797777148687
72,2005,263.19444444444446,10689,172,148,0.5380770303639745
73,630,268.2191780821918,10870,101,80,0.5337180910811822
74,1285,281.9594594594595,11077,100,107,0.529402523968931
75,1120,293.1333333333333,11304,122,105,0.5251298974669132
76,805,299.86842105263156,11510,113,93,0.5208997843089184
77,605,303.83116883116884,11684,102,72,0.5167117614801052
78,2195,328.0769230769231,12046,186,176,0.5125654101747011
79,1310,340.50632911392404,12275,112,117,0.5084603157541202
80,1025,349.0625,12489,111,103,0.5043960677054994
81,1325,361.1111111111111,12698,100,109,0.500372259600647
82,1060,369.6341463414634,12916,116,102,0.49638848905539934
83,945,376.56626506024094,13101,89,96,0.492444357689382
84,1600,391.1309523809524,13324,94,129,0.4885394710861718
85,895,397.05882352941177,13522,111,87,0.48467343875385405
86,1940,415.0,13820,138,160,0.4808458740859739
87,1340,425.632183908046,14102,122,160,0.47705639432287517
88,1805,441.3068181818182,14397,137,158,0.47330462051342326
89,1455,452.69662921348316,14695,146,152,0.46959017747711096
90,1770,467.3333333333333,14989,129,165,0.4659126937665392
91,1305,476.53846153846155,15201,107,105,0.46227180163027237
92,1170,484.07608695652175,15406,98,107,0.45866713697606276
93,1950,499.83870967741933,15706,134,166,0.455098339334441
94,1710,512.7127659574468,16015,140,169,0.45156505182266904
95,2260,531.1052631578947,16322,120,187,0.4480669211090511
96,2440,550.9895833333334,16613,112,179,0.4446035973776009
97,2020,566.1340206185567,16922,130,179,0.441174734293059
98,1955,580.3061224489796,17224,133,169,0.4377799889662596
99,1610,590.7070707070707,17515,116,175,0.43441902191984116
100,1265,597.45,17721,96,110,0.43109149705429817
101,1295,604.3564356435644,18007,117,169,0.427797081614371
102,2175,619.7549019607843,18300,115,178,0.42453544615577044
103,985,623.3009708737864,18506,96,110,0.42130626451223263
104,2555,641.875,18864,160,198,0.4181092137629021
105,1745,652.3809523809524,19166,125,177,0.4149439742000398
106,2020,665.2830188679245,19486,130,190,0.4118102292970517
107,1760,675.5140186915888,19711,83,142,0.40870766567683603
108,2000,687.7777777777778,19991,105,175,0.4056359730804452
109,1285,693.256880733945,20166,65,110,0.4025948443360601
110,1615,701.6363636363636,20443,118,159,0.3995839753282716
111,935,703.7387387387388,20654,78,133,0.39660306496767017
112,2180,716.9196428571429,20985,127,204,0.39365181516073555
113,1875,727.1681415929204,21275,107,183,0.3907299307800276
114,1225,731.5350877192982,21506,95,136,0.3878371196346735
115,1205,735.6521739130435,21775,97,172,0.38497309244114786
116,1375,741.1637931034483,21972,76,121,0.38213756279434485
117,1520,747.8205128205128,22259,122,165,0.3793302471389366
118,1025,750.1694915254237,22528,100,169,0.3765508647410182
119,1935,760.1260504201681,22828,96,204,0.3737991376600337
120,1855,769.25,23107,101,178,0.37107479072098193
121,1570,775.8677685950413,23369,91,171,0.36837755148689866
122,2030,786.1475409836065,23683,110,204,0.3657071502316128
123,2080,796.6666666666666,23977,103,191,0.3630633199127735
124,2065,806.8951612903226,24295,126,192,0.3604457961451456
125,1120,809.4,24482,81,106,0.35785431717417104
126,1915,818.1746031746031,24796,123,191,0.3552886238497933
127,1565,824.0551181102362,25078,99,183,0.3527484596005418
128,1495,829.296875,25374,104,192,0.35023357040787473
129,1515,834.6124031007752,25674,115,185,0.3477437047807771
130,1770,841.8076923076923,25972,108,190,0.3452786137306113
131,2055,851.0687022900763,26273,108,193,0.34283805074621815
132,1725,857.689393939394,26547,95,179,0.3404217717692653
