Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
1,374,374.0,192,192,0,0.9982719999999929,2.9360857
2,99,236.5,284,92,0,0.9974439999999896,5.859532
3,-86,129.0,346,62,0,0.9968859999999873,7.4522057
4,225,153.0,439,93,0,0.9960489999999839,6.1323028
5,121,146.6,663,224,0,0.9940329999999756,3.580126
6,340,178.83333333333334,857,194,0,0.9922869999999685,6.4300957
7,-137,133.71428571428572,904,47,0,0.9918639999999668,6.186288
8,712,206.0,1107,203,0,0.9900369999999593,6.152061
9,-162,165.11111111111111,1167,60,0,0.9894969999999571,6.7467775
10,-211,127.5,1216,49,0,0.9890559999999553,5.3584566
11,-39,112.36363636363636,1278,62,0,0.988497999999953,4.5538406
12,-65,97.58333333333333,1341,63,0,0.9879309999999507,6.968916
13,-135,79.6923076923077,1392,51,0,0.9874719999999488,3.9718342
14,228,90.28571428571429,1509,117,0,0.9864189999999445,5.5453453
15,149,94.2,1608,99,0,0.9855279999999409,5.8284054
16,511,120.25,1758,150,0,0.9841779999999354,6.1489987
17,-234,99.41176470588235,1793,35,0,0.9838629999999341,4.662019
18,-227,81.27777777777777,1830,37,0,0.9835299999999327,5.276311
19,-23,75.78947368421052,1939,109,0,0.9825489999999287,5.4465976
20,-235,60.25,1976,37,0,0.9822159999999274,4.9504633
21,-253,45.333333333333336,2021,45,0,0.9818109999999257,5.3792257
22,454,63.90909090909091,2235,214,0,0.9798849999999178,5.2569003
23,-188,52.95652173913044,2295,60,0,0.9793449999999156,4.7456055
24,-55,48.458333333333336,2357,62,0,0.9787869999999134,4.2039304
25,-217,37.84,2399,42,0,0.9784089999999118,3.6807978
26,-69,33.73076923076923,2484,85,0,0.9776439999999087,2.7412295
27,-220,24.333333333333332,2520,36,0,0.9773199999999074,5.7547717
28,37,24.785714285714285,2614,94,0,0.9764739999999039,3.0575943
29,-238,15.724137931034482,2647,33,0,0.9761769999999027,3.9011405
30,105,18.7,2748,101,0,0.975267999999899,3.9008362
31,-156,13.064516129032258,2801,53,0,0.974790999999897,5.2265797
32,445,26.5625,2935,134,0,0.9735849999998921,5.000766
33,-118,22.181818181818183,2990,55,0,0.9730899999998901,3.2499988
34,317,30.852941176470587,3206,216,0,0.9711459999998822,2.9443493
35,252,37.17142857142857,3347,141,0,0.969876999999877,3.0284593
36,-224,29.916666666666668,3400,53,0,0.969399999999875,4.482712
37,-36,28.135135135135137,3479,79,0,0.9686889999998721,2.4237192
38,-112,24.44736842105263,3527,48,0,0.9682569999998704,1.0080763
39,-203,18.615384615384617,3572,45,0,0.9678519999998687,1.3673098
40,585,32.775,3769,197,0,0.9660789999998615,3.0917897
41,35,32.829268292682926,3861,92,0,0.9652509999998581,1.4927031
