Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-80,-80.0,43,43,0,1.0
2,-125,-102.5,94,51,0,1.0
3,-425,-210.0,301,207,0,1.0
4,-320,-237.5,422,121,0,1.0
5,-120,-214.0,460,38,0,1.0
6,-305,-229.16666666666666,557,97,0,1.0
7,-490,-266.42857142857144,759,202,0,1.0
8,-95,-245.0,813,54,0,1.0
9,-345,-256.1111111111111,933,120,0,1.0
10,-205,-251.0,1033,100,0,1.0
11,-565,-279.54545454545456,1240,207,0,1.0
12,-185,-271.6666666666667,1304,64,0,1.0
13,-260,-270.7692307692308,1422,118,0,1.0
14,-100,-258.57142857142856,1479,57,0,1.0
15,-640,-284.0,1668,189,0,1.0
16,-60,-270.0,1711,43,0,1.0
17,-185,-265.0,1788,77,0,1.0
18,-470,-276.3888888888889,2000,212,0,1.0
19,-355,-280.5263157894737,2196,196,0,1.0
20,-115,-272.25,2264,68,0,1.0
21,-340,-275.4761904761905,2382,118,0,1.0
22,-95,-267.27272727272725,2420,38,0,1.0
23,-205,-264.5652173913044,2495,75,0,1.0
24,-255,-264.1666666666667,2573,78,0,1.0
25,-110,-258.0,2648,75,0,1.0
26,-280,-258.84615384615387,2738,90,0,1.0
27,-340,-261.85185185185185,2843,105,0,1.0
28,-125,-256.9642857142857,2907,64,0,1.0
29,-225,-255.86206896551724,3038,131,0,1.0
30,-165,-252.83333333333334,3091,53,0,1.0
31,-325,-255.16129032258064,3224,133,0,1.0
32,-315,-257.03125,3350,126,0,1.0
33,-380,-260.75757575757575,3505,155,0,1.0
34,-165,-257.94117647058823,3561,56,0,1.0
35,-120,-254.0,3608,47,0,1.0
36,-110,-250.0,3646,38,0,1.0
37,-210,-248.9189189189189,3744,98,0,1.0
38,-130,-245.78947368421052,3790,46,0,1.0
39,-200,-244.6153846153846,3859,69,0,1.0
40,-430,-249.25,4003,144,0,1.0
41,-150,-246.82926829268294,4067,64,0,1.0
42,-145,-244.4047619047619,4126,59,0,1.0
43,-395,-247.90697674418604,4261,135,0,1.0
44,-340,-250.0,4404,143,0,1.0
45,-110,-246.88888888888889,4441,37,0,1.0
46,-180,-245.43478260869566,4506,65,0,1.0
47,-140,-243.19148936170214,4557,51,0,1.0
48,-210,-242.5,4637,80,0,1.0
