Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-90,-90.0,60,60,0,0.9910448503742513
2,-270,-180.0,160,100,0,0.9821788059760798
3,-405,-255.0,370,210,0,0.9734009801936573
4,-365,-282.5,592,222,0,0.9647104952370908
5,-155,-257.0,764,172,0,0.9561064820506426
6,-50,-222.5,813,49,0,0.9475880802258239
7,-100,-205.0,871,58,0,0.9391544379153535
8,-75,-188.75,916,45,0,0.9308047117479722
9,15,-166.11111111111111,1122,206,0,0.9225380667441053
10,-85,-158.0,1167,45,0,0.9143536762323635
11,45,-139.54545454545453,1223,56,0,0.9062507217668754
12,-185,-143.33333333333334,1314,91,0,0.8982283930454418
13,-370,-160.76923076923077,1531,217,0,0.8902858878285052
14,-230,-165.71428571428572,1617,86,0,0.8824224118589252
15,-75,-159.66666666666666,1687,70,0,0.874637178782552
16,-35,-151.875,1742,55,0,0.8669294100695902
17,-35,-145.0,1779,37,0,0.8592983349367453
18,-15,-137.77777777777777,1848,69,0,0.8517431902701448
19,-10,-131.05263157894737,1890,42,0,0.844263220549026
20,-70,-128.0,1933,43,0,0.8368576777701836
21,-345,-138.33333333333334,2124,191,0,0.8295258213731683
22,-25,-133.1818181818182,2349,225,0,0.8222669181662307
23,-20,-128.2608695652174,2415,66,0,0.8150802422530007
24,-450,-141.66666666666666,2632,217,0,0.8079650749598981
25,-5,-136.2,2740,108,0,0.8009207047642644
26,-180,-137.8846153846154,2821,81,0,0.7939464272232096
27,-80,-135.74074074074073,2888,67,0,0.7870415449031678
28,-100,-134.46428571428572,2943,55,0,0.7802053673101529
29,-75,-132.41379310344828,3030,87,0,0.7734372108207087
30,-85,-130.83333333333334,3071,41,0,0.766736398613546
31,-110,-130.16129032258064,3151,80,0,0.7601022606018603
32,-25,-126.875,3285,134,0,0.7535341333663218
33,-120,-126.66666666666667,3319,34,0,0.7470313600887335
34,-95,-125.73529411764706,3372,53,0,0.7405932904863487
35,-115,-125.42857142857143,3431,59,0,0.7342192807468421
36,5,-121.80555555555556,3497,66,0,0.727908693463928
37,-285,-126.21621621621621,3657,160,0,0.7216608975736192
