Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
1,552,552.0,195,195,0,0.9982449999999928,2.7704585
2,244,398.0,285,90,0,0.9974349999999895,4.152339
3,103,299.6666666666667,349,64,0,0.9968589999999872,3.6859334
4,22,230.25,404,55,0,0.9963639999999852,2.5723028
5,217,227.6,479,75,0,0.9956889999999824,2.5394306
6,281,236.5,591,112,0,0.9946809999999783,2.091164
7,-32,198.14285714285714,630,39,0,0.9943299999999768,2.1990232
8,140,190.875,694,64,0,0.9937539999999745,3.0967836
9,215,193.55555555555554,788,94,0,0.992907999999971,2.567431
10,69,181.1,842,54,0,0.992421999999969,2.3559852
11,-36,161.36363636363637,881,39,0,0.9920709999999676,1.646908
12,125,158.33333333333334,972,91,0,0.9912519999999643,2.2342138
13,12,147.07692307692307,1029,57,0,0.9907389999999622,2.874167
14,42,139.57142857142858,1073,44,0,0.9903429999999606,2.3315084
15,1440,226.26666666666668,1300,227,0,0.9882999999999522,2.2149959
16,395,236.8125,1442,142,0,0.987021999999947,1.950444
17,364,244.2941176470588,1643,201,0,0.9852129999999396,1.0559909
18,473,257.0,1747,104,0,0.9842769999999358,1.1120195
19,194,253.68421052631578,1918,171,0,0.9827379999999295,2.1063027
20,-13,240.35,1962,44,0,0.9823419999999279,2.8489141
21,52,231.38095238095238,2013,51,0,0.981882999999926,4.431569
22,674,251.5,2158,145,0,0.9805779999999207,2.5519192
23,399,257.9130434782609,2327,169,0,0.9790569999999145,0.5667033
24,21,248.04166666666666,2373,46,0,0.9786429999999128,2.8674753
25,360,252.52,2468,95,0,0.9777879999999093,2.4476433
26,699,269.6923076923077,2634,166,0,0.9762939999999032,1.7057161
27,237,268.48148148148147,2709,75,0,0.9756189999999004,2.8733306
28,60,261.0357142857143,2763,54,0,0.9751329999998984,1.4870157
29,-16,251.48275862068965,2810,47,0,0.9747099999998967,1.9898514
30,117,247.0,2896,86,0,0.9739359999998936,2.7531762
31,190,245.16129032258064,2987,91,0,0.9731169999998902,0.5782928
32,-34,236.4375,3027,40,0,0.9727569999998887,2.7184753
33,675,249.72727272727272,3240,213,0,0.9708399999998809,1.8380759
34,201,248.2941176470588,3338,98,0,0.9699579999998773,2.9802575
35,46,242.5142857142857,3391,53,0,0.9694809999998754,4.970313
36,658,254.05555555555554,3590,199,0,0.967689999999868,1.5348066
37,712,266.43243243243245,3792,202,0,0.9658719999998606,1.7782366
38,1191,290.7631578947368,3989,197,0,0.9640989999998534,0.820511
39,52,284.64102564102564,4048,59,0,0.9635679999998512,4.5971866
40,11,277.8,4099,51,0,0.9631089999998493,3.3149452
41,135,274.3170731707317,4190,91,0,0.962289999999846,4.6909566
42,30,268.5,4239,49,0,0.9618489999998442,2.1080484
43,643,277.2093023255814,4440,201,0,0.9600399999998368,1.5831845
44,348,278.8181818181818,4576,136,0,0.9588159999998318,1.8737689
45,57,273.8888888888889,4650,74,0,0.9581499999998291,4.5267124
46,457,277.8695652173913,4831,181,0,0.9565209999998224,2.4101493
47,-4,271.8723404255319,4878,47,0,0.9560979999998207,5.326272
48,344,273.375,4988,110,0,0.9551079999998167,2.0381608
49,224,272.3673469387755,5115,127,0,0.953964999999812,2.8510194
50,27,267.46,5172,57,0,0.9534519999998099,3.5108044
51,-23,261.7647058823529,5213,41,0,0.9530829999998084,1.5726641
52,638,269.0,5346,133,0,0.9518859999998035,1.9967682
