Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-140,-140.0,74,74,0,0.9991004498500375
2,-85,-112.5,123,49,0,0.9982017988005998
3,-15,-80.0,196,73,0,0.9973040459530357
4,30,-52.5,247,51,0,0.9964071904095924
5,-15,-45.0,294,47,0,0.9955112312734141
6,-50,-45.833333333333336,363,69,0,0.9946161676485418
7,-150,-60.714285714285715,453,90,0,0.9937219986399116
8,-80,-63.125,507,54,0,0.9928287233533546
9,-85,-65.55555555555556,589,82,0,0.9919363408955952
10,-85,-67.5,638,49,0,0.9910448503742513
11,-270,-85.9090909090909,774,136,0,0.9901542508978318
12,-65,-84.16666666666667,811,37,0,0.9892645415757375
13,5,-77.3076923076923,856,45,0,0.9883757215182588
14,-265,-90.71428571428571,1076,220,0,0.9874877898365757
15,-90,-90.66666666666667,1158,82,0,0.9866007456427563
16,-180,-96.25,1266,108,0,0.9857145880497566
17,0,-90.58823529411765,1459,193,0,0.9848293161714187
18,85,-80.83333333333333,1642,183,0,0.9839449291224707
19,-145,-84.21052631578948,1700,58,0,0.9830614260185254
20,-95,-84.75,1742,42,0,0.9821788059760798
21,-90,-85.0,1847,105,0,0.9812970681125136
22,-145,-87.72727272727273,1922,75,0,0.980416211546089
23,-100,-88.26086956521739,2066,144,0,0.9795362353959494
24,-230,-94.16666666666667,2271,205,0,0.9786571387821184
25,-145,-96.2,2392,121,0,0.9777789208254993
26,-80,-95.57692307692308,2464,72,0,0.9769015806478745
27,-150,-97.5925925925926,2574,110,0,0.9760251173719031
28,-395,-108.21428571428571,2766,192,0,0.9751495301211222
29,-125,-108.79310344827586,2950,184,0,0.9742748180199443
30,-315,-115.66666666666667,3137,187,0,0.9734009801936573
31,-280,-120.96774193548387,3328,191,0,0.9725280157684233
32,45,-115.78125,3422,94,0,0.9716559238712779
33,-240,-119.54545454545455,3627,205,0,0.9707847036301288
34,-160,-120.73529411764706,3719,92,0,0.9699143541737559
35,-25,-118.0,3897,178,0,0.9690448746318098
36,115,-111.52777777777777,4004,107,0,0.9681762641348107
