Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-40,-40.0,57,57,0,0.9994869999999979
2,-345,-192.5,239,182,0,0.9978489999999912
3,0,-128.33333333333334,289,50,0,0.9973989999999894
4,-95,-120.0,331,42,0,0.9970209999999878
5,-490,-194.0,539,208,0,0.9951489999999802
6,-285,-209.16666666666666,684,145,0,0.9938439999999749
7,-100,-193.57142857142858,745,61,0,0.9932949999999726
8,-90,-180.625,788,43,0,0.992907999999971
9,-75,-168.88888888888889,843,55,0,0.992412999999969
10,-130,-165.0,1013,170,0,0.9908829999999628
11,15,-148.63636363636363,1082,69,0,0.9902619999999602
12,-115,-145.83333333333334,1121,39,0,0.9899109999999588
13,-285,-156.53846153846155,1322,201,0,0.9881019999999514
14,-330,-168.92857142857142,1538,216,0,0.9861579999999435
15,-335,-180.0,1753,215,0,0.9842229999999356
16,30,-166.875,1832,79,0,0.9835119999999327
17,-195,-168.52941176470588,2024,192,0,0.9817839999999256
18,-25,-160.55555555555554,2086,62,0,0.9812259999999233
19,50,-149.47368421052633,2145,59,0,0.9806949999999212
20,-85,-146.25,2186,41,0,0.9803259999999197
21,-250,-151.1904761904762,2393,207,0,0.978462999999912
22,-50,-146.5909090909091,2444,51,0,0.9780039999999102
23,20,-139.34782608695653,2493,49,0,0.9775629999999084
24,15,-132.91666666666666,2535,42,0,0.9771849999999068
25,5,-127.4,2585,50,0,0.976734999999905
26,50,-120.57692307692308,2678,93,0,0.9758979999999016
27,-145,-121.48148148148148,2818,140,0,0.9746379999998964
28,-90,-120.35714285714286,2863,45,0,0.9742329999998948
29,-310,-126.89655172413794,3033,170,0,0.9727029999998885
30,-205,-129.5,3156,123,0,0.971595999999884
31,-45,-126.7741935483871,3194,38,0,0.9712539999998826
32,-95,-125.78125,3254,60,0,0.9707139999998804
33,-475,-136.36363636363637,3464,210,0,0.9688239999998727
34,-525,-147.7941176470588,3647,183,0,0.967176999999866
35,5,-143.42857142857142,3696,49,0,0.9667359999998641
36,-135,-143.19444444444446,3884,188,0,0.9650439999998572
37,-60,-140.94594594594594,3975,91,0,0.9642249999998539
38,-35,-138.1578947368421,4054,79,0,0.963513999999851
39,-45,-135.76923076923077,4098,44,0,0.9631179999998494
40,90,-130.125,4193,95,0,0.9622629999998459
41,-395,-136.58536585365854,4359,166,0,0.9607689999998398
42,-285,-140.11904761904762,4573,214,0,0.9588429999998319
43,-320,-144.30232558139534,4782,209,0,0.9569619999998242
44,-115,-143.63636363636363,4910,128,0,0.9558099999998195
45,10,-140.22222222222223,4953,43,0,0.955422999999818
46,-35,-137.93478260869566,5045,92,0,0.9545949999998146
47,-185,-138.93617021276594,5231,186,0,0.9529209999998077
48,-90,-137.91666666666666,5300,69,0,0.9522999999998052
49,-270,-140.6122448979592,5484,184,0,0.9506439999997984
50,-150,-140.8,5565,81,0,0.9499149999997955
51,-35,-138.72549019607843,5621,56,0,0.9494109999997934
52,-75,-137.5,5667,46,0,0.9489969999997917
53,-105,-136.88679245283018,5749,82,0,0.9482589999997887
54,-25,-134.8148148148148,5803,54,0,0.9477729999997867
55,-265,-137.1818181818182,5930,127,0,0.946629999999782
56,10,-134.55357142857142,5976,46,0,0.9462159999997803
57,-40,-132.89473684210526,6055,79,0,0.9455049999997774
58,-15,-130.86206896551724,6130,75,0,0.9448299999997747
59,-235,-132.6271186440678,6316,186,0,0.9431559999997678
60,-300,-135.41666666666666,6515,199,0,0.9413649999997605
61,-65,-134.2622950819672,6709,194,0,0.9396189999997534
62,-340,-137.58064516129033,6829,120,0,0.938538999999749
63,-100,-136.984126984127,7028,199,0,0.9367479999997417
64,-60,-135.78125,7067,39,0,0.9363969999997402
65,-295,-138.23076923076923,7284,217,0,0.9344439999997323
66,-420,-142.5,7453,169,0,0.932922999999726
67,-125,-142.23880597014926,7620,167,0,0.9314199999997199
68,-20,-140.44117647058823,7675,55,0,0.9309249999997179
69,-90,-139.71014492753622,7793,118,0,0.9298629999997136
70,-215,-140.78571428571428,7968,175,0,0.9282879999997071
71,-70,-139.7887323943662,8002,34,0,0.9279819999997059
72,-95,-139.16666666666666,8046,44,0,0.9275859999997043
73,-50,-137.94520547945206,8109,63,0,0.9270189999997019
74,-105,-137.5,8214,105,0,0.9260739999996981
75,-90,-136.86666666666667,8265,51,0,0.9256149999996962
76,-445,-140.92105263157896,8461,196,0,0.923850999999689
77,-140,-140.9090909090909,8517,56,0,0.923346999999687
78,-40,-139.6153846153846,8602,85,0,0.9225819999996838
79,-105,-139.1772151898734,8662,60,0,0.9220419999996816
80,-40,-137.9375,8702,40,0,0.9216819999996801
81,-355,-140.6172839506173,8916,214,0,0.9197559999996723
82,-95,-140.0609756097561,8989,73,0,0.9190989999996696
83,-50,-138.97590361445782,9041,52,0,0.9186309999996677
84,-315,-141.07142857142858,9216,175,0,0.9170559999996613
85,-20,-139.64705882352942,9290,74,0,0.9163899999996585
86,-50,-138.6046511627907,9383,93,0,0.9155529999996551
87,-135,-138.5632183908046,9435,52,0,0.9150849999996532
88,-80,-137.89772727272728,9578,143,0,0.913797999999648
89,-80,-137.24719101123594,9660,82,0,0.9130599999996449
90,-145,-137.33333333333334,9711,51,0,0.9126009999996431
91,-115,-137.0879120879121,9773,62,0,0.9120429999996408
92,-295,-138.80434782608697,9980,207,0,0.9101799999996332
93,-80,-138.1720430107527,10077,97,0,0.9093069999996296
94,-60,-137.3404255319149,10123,46,0,0.9088929999996279
95,-30,-136.21052631578948,10157,34,0,0.9085869999996267
96,-380,-138.75,10326,169,0,0.9070659999996205
97,-40,-137.7319587628866,10372,46,0,0.9066519999996188
98,15,-136.1734693877551,10447,75,0,0.905976999999616
99,-215,-136.96969696969697,10627,180,0,0.9043569999996094
100,-130,-136.9,10697,70,0,0.9037269999996068
101,-415,-139.65346534653466,10903,206,0,0.9018729999995992
102,15,-138.13725490196077,11011,108,0,0.9009009999995953
103,45,-136.35922330097088,11068,57,0,0.9003879999995932
104,55,-134.51923076923077,11122,54,0,0.8999019999995912
105,-100,-134.1904761904762,11188,66,0,0.8993079999995888
106,-150,-134.33962264150944,11287,99,0,0.8984169999995851
107,5,-133.0373831775701,11470,183,0,0.8967699999995784
108,-35,-132.12962962962962,11517,47,0,0.8963469999995767
109,-80,-131.651376146789,11569,52,0,0.8958789999995748
110,-190,-132.1818181818182,11652,83,0,0.8951319999995717
111,-85,-131.75675675675674,11727,75,0,0.894456999999569
112,-150,-131.91964285714286,11911,184,0,0.8928009999995622
113,-175,-132.30088495575222,11991,80,0,0.8920809999995593
114,-140,-132.3684210526316,12183,192,0,0.8903529999995522
115,-170,-132.69565217391303,12356,173,0,0.8887959999995458
116,-175,-133.06034482758622,12500,144,0,0.8874999999995405
117,-75,-132.56410256410257,12608,108,0,0.8865279999995366
118,-20,-131.61016949152543,12648,40,0,0.8861679999995351
119,-110,-131.42857142857142,12722,74,0,0.8855019999995324
120,-260,-132.5,12928,206,0,0.8836479999995248
121,-405,-134.7520661157025,13116,188,0,0.8819559999995179
122,-85,-134.34426229508196,13223,107,0,0.880992999999514
123,-370,-136.260162601626,13425,202,0,0.8791749999995065
124,-105,-136.00806451612902,13519,94,0,0.8783289999995031
125,-280,-137.16,13704,185,0,0.8766639999994963
126,-235,-137.93650793650792,13828,124,0,0.8755479999994917
127,45,-136.49606299212599,13875,47,0,0.87512499999949
128,-345,-138.125,14041,166,0,0.8736309999994839
129,-20,-137.2093023255814,14234,193,0,0.8718939999994768
130,-150,-137.30769230769232,14322,88,0,0.8711019999994736
131,-80,-136.87022900763358,14381,59,0,0.8705709999994714
132,-135,-136.8560606060606,14518,137,0,0.8693379999994664
133,-110,-136.65413533834587,14588,70,0,0.8687079999994638
134,-145,-136.71641791044777,14714,126,0,0.8675739999994592
135,35,-135.44444444444446,14906,192,0,0.8658459999994521
136,-55,-134.85294117647058,14952,46,0,0.8654319999994504
137,-155,-135.0,15076,124,0,0.8643159999994459
138,-110,-134.81884057971016,15143,67,0,0.8637129999994434
139,-335,-136.25899280575538,15372,229,0,0.861651999999435
140,-125,-136.17857142857142,15421,49,0,0.8612109999994332
141,-65,-135.67375886524823,15465,44,0,0.8608149999994316
142,-205,-136.16197183098592,15577,112,0,0.8598069999994274
143,-140,-136.1888111888112,15687,110,0,0.8588169999994234
