Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
1,466,466.0,107,107,0,0.9990369999999961,5.5153112
2,570,518.0,265,158,0,0.9976149999999903,3.8618503
3,665,567.0,442,177,0,0.9960219999999838,2.5471468
4,436,534.25,655,213,0,0.9941049999999759,1.892828
5,862,599.8,856,201,0,0.9922959999999685,1.2665849
6,84,513.8333333333334,905,49,0,0.9918549999999667,2.3443267
7,649,533.1428571428571,1095,190,0,0.9901449999999598,0.8303621
8,-17,464.375,1139,44,0,0.9897489999999581,1.5026878
9,517,470.22222222222223,1341,202,0,0.9879309999999507,1.1795956
10,649,488.1,1543,202,0,0.9861129999999433,0.85099286
11,171,459.27272727272725,1618,75,0,0.9854379999999405,0.67744714
12,375,452.25,1798,180,0,0.9838179999999339,0.046186257
13,14,418.53846153846155,1842,44,0,0.9834219999999323,0.83902913
14,-55,384.7142857142857,1879,37,0,0.9830889999999309,0.98409176
15,-39,356.46666666666664,1925,46,0,0.9826749999999292,1.0302801
16,76,338.9375,2000,75,0,0.9819999999999265,2.015455
17,4,319.2352941176471,2066,66,0,0.9814059999999241,1.1394513
18,698,340.27777777777777,2272,206,0,0.9795519999999165,1.2168045
19,85,326.8421052631579,2325,53,0,0.9790749999999145,1.7117075
20,359,328.45,2433,108,0,0.9781029999999106,0.9425321
21,452,334.3333333333333,2613,180,0,0.976482999999904,0.91703653
22,763,353.8181818181818,2834,221,0,0.9744939999998958,0.7569734
23,349,353.60869565217394,3046,212,0,0.972585999999888,1.2029293
24,116,343.7083333333333,3107,61,0,0.9720369999998858,0.38992894
25,20,330.76,3160,53,0,0.9715599999998838,0.8231616
26,536,338.65384615384613,3294,134,0,0.9703539999998789,1.8030277
27,334,338.48148148148147,3395,101,0,0.9694449999998752,1.9043664
28,138,331.32142857142856,3474,79,0,0.9687339999998723,0.7932601
29,-37,318.62068965517244,3518,44,0,0.9683379999998707,1.7925301
30,387,320.9,3616,98,0,0.9674559999998671,1.3088547
31,238,318.2258064516129,3696,80,0,0.9667359999998641,0.699785
