Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-75,-75.0,68,68,0,0.9910448503742513
2,-115,-95.0,112,44,0,0.9821788059760798
3,-235,-141.66666666666666,252,140,0,0.9734009801936573
4,100,-81.25,389,137,0,0.9647104952370908
5,190,-27.0,515,126,0,0.9561064820506426
6,-70,-34.166666666666664,598,83,0,0.9475880802258239
7,-225,-61.42857142857143,719,121,0,0.9391544379153535
8,-155,-73.125,852,133,0,0.9308047117479722
9,-250,-92.77777777777777,985,133,0,0.9225380667441053
10,-50,-88.5,1019,34,0,0.9143536762323635
11,-105,-90.0,1142,123,0,0.9062507217668754
12,-55,-87.08333333333333,1347,205,0,0.8982283930454418
13,-310,-104.23076923076923,1558,211,0,0.8902858878285052
14,-155,-107.85714285714286,1662,104,0,0.8824224118589252
15,85,-95.0,1740,78,0,0.874637178782552
16,-375,-112.5,1970,230,0,0.8669294100695902
17,-385,-128.52941176470588,2162,192,0,0.8592983349367453
18,-130,-128.61111111111111,2249,87,0,0.8517431902701448
19,25,-120.52631578947368,2437,188,0,0.844263220549026
20,-135,-121.25,2485,48,0,0.8368576777701836
21,-145,-122.38095238095238,2612,127,0,0.8295258213731683
22,-60,-119.54545454545455,2647,35,0,0.8222669181662307
23,-35,-115.8695652173913,2726,79,0,0.8150802422530007
24,-5,-111.25,2879,153,0,0.8079650749598981
25,-195,-114.6,3046,167,0,0.8009207047642644
26,-230,-119.03846153846153,3156,110,0,0.7939464272232096
27,-20,-115.37037037037037,3198,42,0,0.7870415449031678
28,-65,-113.57142857142857,3237,39,0,0.7802053673101529
29,60,-107.58620689655173,3297,60,0,0.7734372108207087
30,-210,-111.0,3491,194,0,0.766736398613546
31,25,-106.61290322580645,3553,62,0,0.7601022606018603
32,-405,-115.9375,3717,164,0,0.7535341333663218
33,-190,-118.18181818181819,3901,184,0,0.7470313600887335
34,5,-114.55882352941177,3981,80,0,0.7405932904863487
35,-140,-115.28571428571429,4027,46,0,0.7342192807468421
36,-270,-119.58333333333333,4189,162,0,0.727908693463928
37,-80,-118.51351351351352,4394,205,0,0.7216608975736192
38,-80,-117.5,4470,76,0,0.7154752682911203
39,-230,-120.38461538461539,4579,109,0,0.7093511870483482
40,-60,-118.875,4647,68,0,0.7032880414320754
41,-25,-116.58536585365853,4685,38,0,0.6972852251226874
42,-430,-124.04761904761905,4893,208,0,0.691342137833551
43,100,-118.83720930232558,5087,166,28,0.6854581852509849
44,405,-106.93181818181819,5260,116,57,0.6796327789748272
45,695,-89.11111111111111,5453,130,63,0.673865336459596
46,875,-68.15217391304348,5686,158,75,0.6681552809562333
47,645,-52.97872340425532,5881,128,67,0.6625020414544307
48,410,-43.333333333333336,6082,144,57,0.6569050526255268
49,720,-27.755102040816325,6282,124,76,0.6513637547659745
50,695,-13.3,6494,143,69,0.6458775937413701
51,775,2.156862745098039,6708,133,81,0.6404460209310393
52,945,20.28846153846154,6931,139,84,0.6350684931731749
53,945,37.735849056603776,7140,117,92,0.6297444727105197
54,1105,57.5,7373,144,89,0.6244734271365907
55,620,67.72727272727273,7610,157,80,0.619254829342438
56,600,77.23214285714286,7817,144,63,0.6140881574639334
57,1375,100.0,8082,154,111,0.6089728948295834
58,525,107.32758620689656,8263,105,76,0.6039085299088618
