Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
1,110,110.0,113,113,0,0.9988812999999992,2.8171027
2,45,77.5,181,68,0,0.9982080999999987,1.8649001
3,21,58.666666666666664,256,75,0,0.9974655999999982,2.5772197
4,-17,39.75,314,58,0,0.9968913999999978,2.2839766
5,-60,19.8,351,37,0,0.9965250999999975,2.461134
6,-63,6.0,390,39,0,0.9961389999999972,2.3461678
7,-37,-0.14285714285714285,461,71,0,0.9954360999999967,1.4079416
8,348,43.375,609,148,0,0.9939708999999957,0.87068737
9,-23,36.0,668,59,0,0.9933867999999952,2.4455361
10,216,54.0,775,107,0,0.9923274999999945,2.9761062
11,68,55.27272727272727,864,89,0,0.9914463999999938,1.4896389
12,-69,44.916666666666664,897,33,0,0.9911196999999936,1.8925636
13,265,61.84615384615385,1034,137,0,0.9897633999999926,0.49920562
14,88,63.714285714285715,1124,90,0,0.988872399999992,1.7719798
15,198,72.66666666666667,1300,176,0,0.9871299999999907,1.0208995
16,329,88.6875,1519,219,0,0.9849618999999892,1.4533412
17,-44,80.88235294117646,1566,47,0,0.9844965999999888,1.251237
18,62,79.83333333333333,1756,190,0,0.9826155999999875,0.92693186
19,-33,73.89473684210526,1810,54,0,0.9820809999999871,0.9158263
20,-32,68.6,1849,39,0,0.9816948999999868,1.0769615
21,15,66.04761904761905,1915,66,0,0.9810414999999864,1.9623487
22,9,63.45454545454545,1981,66,0,0.9803880999999859,0.9854995
23,489,81.95652173913044,2170,189,0,0.9785169999999845,1.5543656
24,-28,77.375,2221,51,0,0.9780120999999842,0.60589737
25,97,78.16,2313,92,0,0.9771012999999835,1.2510691
26,355,88.8076923076923,2531,218,0,0.974943099999982,1.5763271
27,350,98.48148148148148,2752,221,0,0.9727551999999804,0.7602446
28,58,97.03571428571429,2842,90,0,0.9718641999999797,0.74830216
29,287,103.58620689655173,3022,180,0,0.9700821999999785,0.6425107
30,-25,99.3,3118,96,0,0.9691317999999778,1.3596239
31,-12,95.70967741935483,3179,61,0,0.9685278999999773,1.2320383
32,11,93.0625,3238,59,0,0.9679437999999769,0.90919
33,435,103.42424242424242,3423,185,0,0.9661122999999756,1.0358804
34,-24,99.67647058823529,3474,51,0,0.9656073999999752,1.3568742
35,-47,95.48571428571428,3518,44,0,0.9651717999999749,1.0628746
36,633,110.41666666666667,3760,242,0,0.9627759999999732,1.4115275
37,328,116.29729729729729,3916,156,0,0.9612315999999721,1.9982697
38,314,121.5,4159,243,0,0.9588258999999704,0.6147977
39,-27,117.6923076923077,4201,42,0,0.9584100999999701,0.33444598
40,265,121.375,4311,110,0,0.9573210999999693,1.0813181
41,121,121.36585365853658,4435,124,0,0.9560934999999684,0.1989784
42,57,119.83333333333333,4527,92,0,0.9551826999999677,0.96008277
43,437,127.20930232558139,4736,209,0,0.9531135999999663,0.9584648
44,131,127.29545454545455,4903,167,0,0.9514602999999651,0.92048305
