Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-120,-120.0,58,58,0,1.0
2,-450,-285.0,204,146,0,1.0
3,-235,-268.3333333333333,267,63,0,1.0
4,-235,-260.0,363,96,0,1.0
5,-295,-267.0,462,99,0,1.0
6,-530,-310.8333333333333,653,191,0,1.0
7,-95,-280.0,686,33,0,1.0
8,-110,-258.75,765,79,0,1.0
9,-465,-281.6666666666667,908,143,0,1.0
10,-175,-271.0,971,63,0,1.0
11,-105,-255.9090909090909,1010,39,0,1.0
12,-595,-284.1666666666667,1223,213,0,1.0
13,-240,-280.7692307692308,1312,89,0,1.0
14,-360,-286.42857142857144,1417,105,0,1.0
15,-560,-304.6666666666667,1638,221,0,1.0
16,-110,-292.5,1680,42,0,1.0
17,-150,-284.11764705882354,1740,60,0,1.0
18,-380,-289.44444444444446,1886,146,0,1.0
19,-90,-278.94736842105266,1924,38,0,1.0
20,-445,-287.25,2080,156,0,1.0
21,-540,-299.2857142857143,2273,193,0,1.0
22,-85,-289.54545454545456,2318,45,0,1.0
23,-260,-288.2608695652174,2403,85,0,1.0
24,-110,-280.8333333333333,2444,41,0,1.0
25,-395,-285.4,2590,146,0,1.0
26,-555,-295.7692307692308,2778,188,0,1.0
27,-525,-304.25925925925924,2994,216,0,1.0
28,-300,-304.10714285714283,3088,94,0,1.0
29,-300,-303.9655172413793,3185,97,0,1.0
30,-555,-312.3333333333333,3385,200,0,1.0
31,-110,-305.80645161290323,3423,38,0,1.0
32,-150,-300.9375,3471,48,0,1.0
33,-135,-295.90909090909093,3526,55,0,1.0
34,-115,-290.5882352941176,3582,56,0,1.0
35,-120,-285.7142857142857,3627,45,0,1.0
36,-530,-292.5,3802,175,0,1.0
37,-270,-291.8918918918919,3915,113,0,1.0
38,-125,-287.5,3955,40,0,1.0
39,-135,-283.5897435897436,3998,43,0,1.0
40,-85,-278.625,4045,47,0,1.0
41,-150,-275.4878048780488,4102,57,0,1.0
42,-530,-281.54761904761904,4268,166,0,1.0
43,-420,-284.7674418604651,4434,166,0,1.0
44,-340,-286.02272727272725,4532,98,0,1.0
45,-390,-288.3333333333333,4639,107,0,1.0
46,-130,-284.89130434782606,4685,46,0,1.0
47,-530,-290.1063829787234,4890,205,0,1.0
48,-330,-290.9375,4985,95,0,1.0
49,70,-283.57142857142856,5182,129,68,0.6513637547659745
50,200,-273.9,5369,102,85,0.6458775937413701
51,60,-267.3529411764706,5560,120,71,0.6404460209310393
52,190,-258.5576923076923,5775,120,95,0.6350684931731749
53,125,-251.32075471698113,6003,139,89,0.6297444727105197
54,270,-241.66666666666666,6183,110,70,0.6244734271365907
55,95,-235.54545454545453,6389,124,82,0.619254829342438
56,25,-230.89285714285714,6580,119,72,0.6140881574639334
57,210,-223.1578947368421,6791,132,79,0.6089728948295834
58,20,-218.9655172413793,6995,125,79,0.6039085299088618
59,390,-208.64406779661016,7184,101,88,0.5988945562610564
60,-35,-205.75,7436,160,92,0.5939304724846237
61,150,-199.91803278688525,7619,107,76,0.5890157821670499
62,45,-195.96774193548387,7788,100,69,0.584149993835207
63,125,-190.87301587301587,7978,109,81,0.5793326209062075
64,275,-183.59375,8145,92,75,0.5745631816387438
65,305,-176.07692307692307,8343,111,87,0.5698411990849145
66,155,-171.06060606060606,8714,218,153,0.5651662010425292
67,235,-165.0,8928,125,89,0.5605377200078883
68,230,-159.19117647058823,9124,116,80,0.5559552931290306
69,165,-154.4927536231884,9372,135,113,0.5514184621594499
70,420,-146.28571428571428,9680,152,156,0.5469267734122686
71,325,-139.64788732394365,10034,192,162,0.5424797777148687
72,385,-132.36111111111111,10362,170,158,0.5380770303639745
73,455,-124.31506849315069,10689,166,161,0.5337180910811822
74,65,-121.75675675675676,10858,88,81,0.529402523968931
75,280,-116.4,11204,186,160,0.5251298974669132
76,325,-110.59210526315789,11433,121,108,0.5208997843089184
77,200,-106.55844155844156,11597,91,73,0.5167117614801052
78,320,-101.08974358974359,11823,122,104,0.5125654101747011
79,380,-95.0,12008,91,94,0.5084603157541202
80,320,-89.8125,12253,117,128,0.5043960677054994
81,325,-84.69135802469135,12496,121,122,0.500372259600647
82,390,-78.90243902439025,12825,146,183,0.49638848905539934
83,320,-74.09638554216868,13076,127,124,0.492444357689382
84,480,-67.5,13421,163,182,0.4885394710861718
85,435,-61.588235294117645,13763,162,180,0.48467343875385405
86,390,-56.33720930232558,14054,123,168,0.4808458740859739
87,585,-48.96551724137931,14395,164,177,0.47705639432287517
88,365,-44.26136363636363,14588,99,94,0.47330462051342326
89,360,-39.71910112359551,14777,87,102,0.46959017747711096
90,355,-35.333333333333336,15113,164,172,0.4659126937665392
91,415,-30.384615384615383,15412,128,171,0.46227180163027237
92,440,-25.27173913043478,15632,84,136,0.45866713697606276
93,555,-19.032258064516128,15946,134,180,0.455098339334441
94,350,-15.106382978723405,16171,104,121,0.45156505182266904
95,440,-10.31578947368421,16346,74,101,0.4480669211090511
96,380,-6.25,16580,103,131,0.4446035973776009
97,475,-1.288659793814433,16855,112,163,0.441174734293059
98,495,3.7755102040816326,17144,123,166,0.4377799889662596
99,740,11.212121212121213,17462,134,184,0.43441902191984116
100,2160,32.7,19047,0,1585,0.43441902191984116
101,375,36.08910891089109,19243,92,104,0.427797081614371
102,500,40.63725490196079,19554,122,189,0.42453544615577044
103,680,46.84466019417476,19846,121,171,0.42130626451223263
104,580,51.97115384615385,20182,153,183,0.4181092137629021
105,540,56.61904761904762,20429,93,154,0.4149439742000398
106,535,61.132075471698116,20715,122,164,0.4118102292970517
107,545,65.65420560747664,21043,150,178,0.40870766567683603
108,455,69.25925925925925,21343,118,182,0.4056359730804452
109,400,72.29357798165138,21641,129,169,0.4025948443360601
110,345,74.77272727272727,21813,64,108,0.3995839753282716
111,550,79.05405405405405,22116,104,199,0.39660306496767017
112,440,82.27678571428571,22405,118,171,0.39365181516073555
113,540,86.32743362831859,22696,106,185,0.3907299307800276
114,570,90.5701754385965,23009,119,194,0.3878371196346735
115,500,94.1304347826087,23214,83,122,0.38497309244114786
116,665,99.05172413793103,23480,97,169,0.38213756279434485
117,745,104.57264957264957,23779,113,186,0.3793302471389366
118,555,108.38983050847457,24057,97,181,0.3765508647410182
119,790,114.11764705882354,24370,109,204,0.3737991376600337
120,565,117.875,24541,69,102,0.37107479072098193
121,670,122.43801652892562,24848,114,193,0.36837755148689866
122,650,126.76229508196721,25163,118,197,0.3657071502316128
123,725,131.6260162601626,25473,112,198,0.3630633199127735
124,615,135.5241935483871,25744,86,185,0.3604457961451456
125,520,138.6,26025,100,181,0.35785431717417104
126,655,142.6984126984127,26340,121,194,0.3552886238497933
127,910,148.74015748031496,26665,121,204,0.3527484596005418
128,790,153.75,26950,85,200,0.35023357040787473
129,520,156.5891472868217,27232,111,171,0.3477437047807771
130,645,160.34615384615384,27533,107,194,0.3452786137306113
131,500,162.93893129770993,27826,118,175,0.34283805074621815
132,690,166.9318181818182,28104,86,192,0.3404217717692653
133,775,171.50375939849624,28382,86,192,0.3380295351698416
134,565,174.4402985074627,28658,92,184,0.3356611017222934
135,580,177.44444444444446,28963,114,191,0.33331623458130233
136,790,181.9485294117647,29229,81,185,0.3309946992582003
137,880,187.04379562043795,29524,101,194,0.32869626359752024
138,470,189.09420289855072,29805,103,178,0.3264206977537808
139,650,192.41007194244605,30089,96,188,0.32416777416850134
140,620,195.46428571428572,30389,122,178,0.3219372675474458
141,615,198.43971631205673,30676,96,191,0.3197289548380934
